Date,SPY,TLT,GLD,BIL,^VIX,DX-Y.NYB,SLV,EEM,IWM,VTV,VUG,HYG,VNQ,VGK,AAXJ,EWJ
2009-11-13,81.37165069580078,57.20404052734375,109.73999786376953,73.21830749511719,23.360000610351562,75.33000183105469,17.149999618530273,28.773086547851562,46.849517822265625,30.887630462646484,7.258233547210693,32.42905807495117,21.771045684814453,28.048072814941406,40.38176727294922,28.16936492919922
2009-11-20,81.23056030273438,57.934898376464844,112.94000244140625,73.21830749511719,22.190000534057617,75.66000366210938,18.219999313354492,28.499662399291992,46.73784637451172,30.93337631225586,7.227293014526367,32.54988098144531,21.641700744628906,27.57617950439453,40.323333740234375,27.375446319580078
2009-11-27,81.33450317382812,58.71446990966797,115.05999755859375,73.23430633544922,24.739999771118164,75.0,17.950000762939453,28.13509178161621,45.93215560913086,30.913759231567383,7.23714017868042,32.32335662841797,21.046730041503906,27.511089324951172,39.432132720947266,27.551864624023438
2009-12-04,82.40343475341797,57.031951904296875,113.75,73.25025939941406,21.25,75.91000366210938,18.149999618530273,29.333969116210938,48.1976432800293,31.403945922851562,7.321502685546875,32.798683166503906,22.919607162475586,27.91789436340332,41.2875862121582,29.374940872192383
2009-12-11,82.4776611328125,56.2681770324707,109.31999969482422,73.21830749511719,21.59000015258789,76.56999969482422,16.8700008392334,28.990432739257812,47.99821090698242,31.4627685546875,7.332755088806152,33.061073303222656,22.531578063964844,27.20733070373535,40.59362030029297,29.257314682006836
2009-12-18,82.2500228881836,56.69587707519531,108.94999694824219,73.21830749511719,21.68000030517578,77.81999969482422,16.950000762939453,28.29634666442871,48.80390930175781,31.260160446166992,7.362282752990723,33.33108139038086,22.888568878173828,26.80052947998047,39.88503646850586,29.02208137512207
2009-12-25,83.94413757324219,54.8139762878418,108.36000061035156,73.23430633544922,19.469999313354492,77.83999633789062,17.170000076293945,29.118589401245117,50.74811935424805,31.818586349487305,7.565038681030273,33.70753479003906,24.06427574157715,27.5354061126709,40.82796096801758,29.461990356445312
2010-01-01,83.16798400878906,55.119869232177734,107.30999755859375,73.25663757324219,21.68000030517578,77.86000061035156,16.540000915527344,29.339130401611328,50.0112419128418,31.47583770751953,7.486029624938965,33.623966217041016,23.445890426635742,27.32685089111328,41.07866668701172,28.89826774597168
2010-01-08,85.5038833618164,54.751983642578125,111.37000274658203,73.20872497558594,18.1299991607666,77.47000122070312,18.149999618530273,30.54098129272461,51.67721176147461,32.425052642822266,7.692020893096924,34.32832336425781,23.356800079345703,28.38654136657715,42.55339813232422,30.025720596313477
2010-01-15,84.809814453125,55.84955978393555,110.86000061035156,73.22471618652344,17.90999984741211,77.31999969482422,18.049999237060547,29.657264709472656,51.004417419433594,32.214107513427734,7.608778476715088,34.098628997802734,23.367279052734375,27.924331665039062,41.926639556884766,31.06416130065918
2010-01-22,81.50372314453125,56.413734436035156,107.16999816894531,73.22471618652344,27.309999465942383,78.27999877929688,16.780000686645508,28.00296401977539,49.44255828857422,31.053939819335938,7.306853771209717,33.214412689208984,22.324434280395508,26.182573318481445,39.64817428588867,30.174062728881836
2010-01-29,80.14544677734375,56.60380554199219,105.95999908447266,73.25663757324219,24.6200008392334,79.45999908447266,15.899999618530273,27.062694549560547,48.14502716064453,30.7045841217041,7.14178466796875,33.007686614990234,22.1514949798584,25.61327362060547,38.394657135009766,29.194961547851562
2010-02-05,79.60066986083984,56.60072326660156,104.68000030517578,73.25663757324219,26.110000610351562,80.44000244140625,14.899999618530273,26.299175262451172,47.47222900390625,30.38157844543457,7.10933256149292,32.76969909667969,22.057167053222656,24.80722427368164,37.08213424682617,29.135622024536133
2010-02-12,80.63055419921875,55.49921798706055,107.04000091552734,73.25663757324219,22.729999542236328,80.31999969482422,15.239999771118164,27.175813674926758,48.8738899230957,30.671613693237305,7.246187210083008,32.364654541015625,22.010000228881836,25.038330078125,38.483131408691406,29.076292037963867
2010-02-19,82.944091796875,55.04387283325195,109.47000122070312,73.20872497558594,20.020000457763672,80.63999938964844,15.970000267028809,27.840373992919922,50.50782775878906,31.5615177154541,7.452170372009277,33.471771240234375,23.194355010986328,25.771102905273438,38.98454666137695,28.95760726928711
2010-02-26,82.64555358886719,56.409976959228516,109.43000030517578,73.24069213867188,19.5,80.36000061035156,16.06999969482422,27.543445587158203,50.29959487915039,31.508787155151367,7.418310642242432,33.62603759765625,23.388246536254883,25.47233772277832,38.859195709228516,29.491661071777344
2010-03-05,85.26507568359375,55.72474670410156,110.80999755859375,73.20872497558594,17.420000076293945,80.43000030517578,17.010000228881836,28.950305938720703,53.35920715332031,32.40526580810547,7.659569263458252,34.13361358642578,24.326290130615234,26.802635192871094,40.51089096069336,30.085054397583008
2010-03-12,86.16812133789062,55.854366302490234,107.94999694824219,73.20872497558594,17.579999923706055,79.83000183105469,16.760000228881836,29.24722671508789,54.24025344848633,32.76122283935547,7.752683639526367,34.27741622924805,25.196210861206055,27.03936767578125,41.09341812133789,30.559764862060547
2010-03-19,86.90513610839844,56.33588409423828,108.27999877929688,73.20872497558594,16.969999313354492,80.72000122070312,16.649999618530273,29.119962692260742,53.99196243286133,33.11058807373047,7.7809038162231445,34.23465347290039,25.70453643798828,26.780075073242188,41.10816192626953,30.559764862060547
2010-03-26,87.36226654052734,54.909889221191406,108.58999633789062,73.24069213867188,17.770000457763672,81.68000030517578,16.610000610351562,29.056346893310547,54.44759750366211,33.3078498840332,7.836594581604004,34.44453811645508,26.024179458618164,26.853357315063477,41.248260498046875,30.797119140625
2010-04-02,88.27649688720703,55.11435317993164,110.26000213623047,73.24069213867188,17.469999313354492,80.77999877929688,17.540000915527344,30.555116653442383,54.94544219970703,33.73861312866211,7.90166711807251,34.26047897338867,25.902748107910156,27.625595092773438,42.76722717285156,31.449861526489258
2010-04-09,89.58792114257812,55.132972717285156,113.63999938964844,73.20872497558594,16.139999389648438,81.08999633789062,18.010000228881836,30.951005935668945,56.40678787231445,34.23563766479492,8.017658233642578,34.628536224365234,26.89006805419922,27.681962966918945,43.401371002197266,31.56853675842285
2010-04-16,89.44550323486328,55.67816162109375,111.23999786376953,73.20872497558594,18.360000610351562,80.81999969482422,17.40999984741211,30.017818450927734,57.378334045410156,34.08984375,8.038878440856934,34.6363525390625,26.055864334106445,27.557950973510742,42.46490478515625,31.153156280517578
2010-04-23,91.2814712524414,55.833091735839844,113.19000244140625,73.20872497558594,16.6200008392334,81.3499984741211,17.90999984741211,30.44199562072754,59.52223205566406,34.825443267822266,8.194476127624512,35.07099533081055,27.861557006835938,27.507217407226562,43.05480194091797,31.03448486328125
