fecha,ticker,close,volume,beta_Momentum_Global_ExUS_score,beta_ret_vnq,beta_breakeven_5y,beta_ret_vtv,beta_ret_vug,beta_Liquidez_FED_score,beta_Riesgo_Sistemico_score,beta_Curva_Invertida_score,beta_vix,beta_ret_iwm,impacto_vix_nivel,beta_ret_hyg,downside_vol_6m,mom_12_1,beta_percentil_yield_10y,ret_12m,amihud_3m,beta_ret_slv,cruce_ma90_ma200,beta_condiciones_financieras,target_3m,target_1m,target_6m
2007-06-01,BIL,70.17767333984375,14200.0,,,,,,,,,,,,,0.0,,,,,,,,0.75,1.0,0.5
2007-06-08,BIL,70.22362518310547,34550.0,,,,,,,,,,,,,0.0,,,,,,,,0.5,0.5,0.5
2007-06-15,BIL,70.34619140625,24500.0,,,,,,,,,,,,,0.0,,,,,,,,0.5,0.25,0.5
2007-06-22,BIL,70.4381332397461,35000.0,,,,,,,,,,,,,0.0,,,,,,,,0.25,0.25,0.5
2007-06-29,BIL,70.46876525878906,49550.0,,,,,,,,,,,,,0.0,,,,,,,,0.25,0.5,0.5
2007-07-06,BIL,70.51949310302734,25300.0,,,,,,,,,,,,,0.0,,,,,,,,0.25,0.5,0.5
2007-07-13,BIL,70.5810775756836,46050.0,,,,,,,,,,,,,0.0,,,,,,,,0.25,0.5,0.5
2007-07-20,BIL,70.65800476074219,90000.0,,,,,,,,,,,,,0.0,,,,,,,,0.5,0.75,0.5
2007-07-27,BIL,70.71954345703125,220950.0,,,,,,,,,,,,,0.0,,,,,,,,0.25,0.25,0.5
2007-08-03,BIL,70.71168518066406,158900.0,,,,,,,,,,,,,0.0,,,,,,,,0.25,0.5,0.5
2007-08-10,BIL,70.88166046142578,271250.0,,,,,,,,,,,,,0.0,,,,,,,,0.5,0.25,0.5
2007-08-17,BIL,71.03611755371094,450450.0,,,,,,,,,,,,,0.0,,,,,,,,0.25,0.25,0.5
2007-08-24,BIL,71.02069854736328,261750.0,,,,,,,,,,,,,0.0,,,,,,,,0.5,0.25,0.5
2007-08-31,BIL,71.0516128540039,117150.0,,,,,,,,,,,,,0.0,,,,0.2387346887496632,,,,0.25,0.25,0.5
2007-09-07,BIL,71.12447357177734,62950.0,,,,,,,,,,,,,0.0,,,,0.2355927870330576,,,,0.25,0.5,0.5
2007-09-14,BIL,71.20207214355469,106800.0,,,,,,,,,,,,,0.0,,,,0.1687291735037389,,,,0.5,0.5,0.5
2007-09-21,BIL,71.20207214355469,362750.0,,,,,,,,,,,,,0.0,,,,0.1279485993090509,,,,0.5,0.5,0.5
2007-09-28,BIL,71.18656158447266,290800.0,,,,,,,,,,,,,0.0,,,,0.119177655745059,,,,0.5,0.25,0.5
2007-10-05,BIL,71.23321533203125,258200.0,,,,,,,,,,,,,0.0,,,,0.0908818567336288,,,,0.5,0.5,0.5
2007-10-12,BIL,71.35771179199219,418600.0,,,,,,,,,,,,,0.0,,,,0.0747145592232623,,,,0.5,0.5,0.5
2007-10-19,BIL,71.46668243408203,219100.0,,,,,,,,,,,,,0.0,,,,0.0690326840381792,,,,0.5,0.5,0.5
2007-10-26,BIL,71.41996765136719,253350.0,,,,,,,,,,,,,0.0,,,,0.0675239858348471,,,,0.5,0.5,0.5
2007-11-02,BIL,71.56192016601562,67550.0,,,,,,,,,,,,,0.0,,,,0.0983913321155483,,,,0.5,0.75,0.5
2007-11-09,BIL,71.6243896484375,409250.0,,,,,,,,,,,,,0.0,,,,0.0910649858167083,,,,0.5,0.5,0.5
2007-11-16,BIL,71.65558624267578,460100.0,,,,,,,,,,,,,0.0,,,,0.0868427617155459,,,,0.75,0.5,0.5
2007-11-23,BIL,71.749267578125,141300.0,,,,,,,,,,,,,0.0,,,,0.0958643183353601,,,,0.75,0.75,0.75
2007-11-30,BIL,71.749267578125,409000.0,,,,,,,,,,,,,0.0,,,,0.0918416429804969,,,,0.5,0.75,0.75
2007-12-07,BIL,71.82603454589844,570800.0,,,,,,,,,,,,,0.0,,,,0.076230914133453,,,,0.5,0.5,0.5
2007-12-14,BIL,71.84172058105469,332850.0,,,,,,,,,,,,,0.0,,,,0.0658970407285503,,,,0.5,0.5,0.75
2007-12-21,BIL,71.9356689453125,175800.0,,,,,,,,,,,,,0.0,,,,0.0738514143905038,,,,0.5,0.5,0.75
2007-12-28,BIL,71.93404388427734,87500.0,,,,,,,,,,,,,0.0017512316390981,,,,0.0733180304771969,,,,0.5,0.5,0.5
2008-01-04,BIL,71.91842651367188,264850.0,,,,,,,,,,,,,0.0015684166677339,,,,0.0714538258204108,,,,0.5,0.5,0.75
2008-01-11,BIL,71.9498291015625,271000.0,,,,,,,,,,,,,0.0015684166677339,,,,0.0686756065784805,,,,0.5,0.75,0.75
2008-01-18,BIL,72.01264953613281,785050.0,,,,,,,,,,,,,0.0015684166677339,,,,0.0623615832832004,,,,0.5,0.5,0.75
2008-01-25,BIL,72.075439453125,286000.0,,,,,,,,,,,,,0.0015684166677339,,,,0.0628364743264575,,,,0.75,0.5,0.75
2008-02-01,BIL,72.19319152832031,214500.0,,,,,,,,,,,,,0.0016781576636431,,,,0.0393238831718445,,,,0.75,0.75,1.0
2008-02-08,BIL,72.2089614868164,151750.0,,,,,,,,,,,,,0.0016781576636431,,,,0.0385665081472338,,,,0.75,0.75,1.0
2008-02-15,BIL,72.24046325683594,161100.0,,,,,,,,,,,,,0.0016781576636431,,,,0.040433787814738,,,,0.5,0.5,0.75
2008-02-22,BIL,72.2719955444336,165200.0,,,,,,,,,,,,,0.0,,,,0.0333262880523303,,,,0.5,0.75,0.75
2008-02-29,BIL,72.31917572021484,179800.0,,,,,,,,,,,,,0.0,,,,0.0371882056326534,,0.0083507689828536,,0.75,0.75,0.75
2008-03-07,BIL,72.36181640625,450750.0,,,,,,,,,,,,,0.0,,,,0.036571277681016,,0.0082020317242088,,0.75,0.5,0.75
2008-03-14,BIL,72.45640563964844,201500.0,,,,,,,,,,,,,0.0,,,,0.0427558618647067,,0.0080613398647046,,0.75,0.5,0.75
2008-03-21,BIL,72.51953887939453,262100.0,,,,,,,,,,,,,0.0,,,,0.0383277608051259,,0.0079666168227701,,1.0,0.5,1.0
2008-03-28,BIL,72.40914916992188,129950.0,,,,,,,,,,,,,0.0,,,,0.0504956914691681,,0.0077848574158898,,1.0,0.75,0.75
2008-04-04,BIL,72.4721908569336,282100.0,,,,,,,,,,,,,0.0,,,,0.0528947066576895,,0.0076408522505388,,0.75,0.75,0.75
2008-04-11,BIL,72.48797607421875,162950.0,,,,,,,,,,,,,0.0,,,,0.0525905677040404,,0.0074620558956448,,0.75,0.75,0.75
2008-04-18,BIL,72.4247817993164,159900.0,,,,,,,,,,,,,0.0042519652688223,,,,0.0571932757399494,,0.0072662127926199,,0.75,0.75,0.75
2008-04-25,BIL,72.48797607421875,135200.0,,,,,,,,,,,,,0.0,,,,0.060788166737959,,0.007051629410183,,0.75,0.5,0.75
